Welcome.started,Welcome.stopped,target_bottom.started,target_bottom.stopped,target_top.started,target_top.stopped,fixation_demo.started,fixation_demo.stopped,Staircase.label,Staircase.startVal,Staircase.stepType,Staircase.stepSizes,Staircase.maxVal,Staircase.minVal,Staircase.CorrectAns,Staircase.nUp,Staircase.nDown,Staircase.SOA,Staircase.thisIndex,Staircase.thisRepN,Staircase.thisN,Staircase.direction,Staircase.stepSize,Staircase.intensity,Staircase.response,participant,session,date,expName,psychopyVersion,frameRate,
72.79674013499994,None,72.79674013499994,None,72.79674013499994,None,72.79674013499994,None,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,1,0,start,-64,200,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,1,1,start,64,-200,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,2,2,up,-64,136,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,2,3,up,64,-136,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,3,4,up,-64,72,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,3,5,up,64,-72,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,4,6,up,64,-8,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,4,7,up,-64,8,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,5,8,down,-32,40,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,5,9,up,64,56,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,6,10,up,-32,8,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,6,11,down,32,24,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,7,12,up,-32,-24,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,7,13,down,32,-8,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,8,14,down,32,-40,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,8,15,up,-32,-56,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,9,16,up,32,-8,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,9,17,down,-32,-24,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,10,18,up,-16,-40,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,10,19,down,32,-40,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,11,20,down,-16,-24,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,11,21,up,16,-24,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,12,22,up,-8,-32,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,12,23,up,16,-8,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,13,24,up,16,8,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,13,25,down,-8,-24,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,14,26,down,16,-8,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,14,27,down,-8,-16,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,15,28,up,8,0,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,15,29,down,-8,-8,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,16,30,up,-4,-12,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,16,31,down,8,-8,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,17,32,up,4,-4,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,17,33,down,-4,-8,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,18,34,up,4,0,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,18,35,down,-4,-4,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,19,36,up,-2,-6,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,19,37,down,4,-4,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,20,38,down,4,-8,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,20,39,up,-2,-8,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,21,40,down,-2,-6,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,21,41,up,2,-6,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,22,42,down,2,-8,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,22,43,up,-2,-8,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,23,44,up,-2,-10,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,23,45,down,2,-10,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,24,46,down,-2,-8,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,24,47,up,2,-8,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,25,48,down,-2,-6,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,25,49,up,2,-6,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,26,50,down,2,-8,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,26,51,up,-2,-8,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,27,52,up,-2,-10,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,27,53,down,2,-10,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,28,54,up,-2,-12,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,28,55,down,2,-12,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,29,56,up,2,-10,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,29,57,up,-2,-14,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,30,58,down,2,-12,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,30,59,down,-2,-12,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,31,60,up,2,-10,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,31,61,up,-2,-14,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,32,62,down,2,-12,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,32,63,up,-2,-16,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,33,64,up,-2,-18,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,33,65,up,2,-10,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,34,66,up,2,-8,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,34,67,down,-2,-16,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,35,68,down,-2,-14,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,35,69,up,2,-6,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,36,70,up,2,-4,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,36,71,down,-2,-12,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,37,72,down,2,-6,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,37,73,down,-2,-10,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,38,74,up,-2,-12,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,38,75,up,2,-4,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,39,76,down,2,-6,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,39,77,down,-2,-10,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,40,78,down,2,-8,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,40,79,down,-2,-8,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,41,80,up,2,-6,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,41,81,down,-2,-6,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,42,82,down,2,-8,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,42,83,up,-2,-8,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,43,84,up,2,-6,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,43,85,up,-2,-10,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,44,86,down,2,-8,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,44,87,up,-2,-12,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,45,88,up,2,-6,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,45,89,up,-2,-14,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,46,90,down,-2,-12,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,46,91,down,2,-8,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,47,92,up,-2,-14,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,47,93,up,2,-6,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,48,94,up,2,-4,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,48,95,down,-2,-12,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,49,96,up,2,-2,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,49,97,down,-2,-10,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
